id_student,overallstay
11391,427.0
28400,321.0
30268,104.0
31604,320.0
32885,444.0
38053,378.0
45462,335.0
45642,297.0
52130,301.0
53025,447.0
57506,371.0
58873,315.0
59185,327.0
62155,336.0
63400,335.0
65002,276.0
70464,363.0
71361,398.0
74372,318.0
75091,375.0
77367,295.0
91265,299.0
94961,242.0
98094,375.0
100893,330.0
101781,371.0
102806,375.0
102952,368.0
104476,377.0
106247,180.0
106577,375.0
110175,378.0
111717,311.0
113295,294.0
114017,297.0
114999,336.0
116541,336.0
116692,300.0
118983,367.0
123044,350.0
127582,299.0
129955,332.0
132976,343.0
134143,364.0
135335,59.0
135400,176.0
137873,463.0
141355,329.0
141377,239.0
142326,305.0
144801,335.0
145130,304.0
146188,400.0
147756,360.0
147793,196.0
148993,332.0
151358,312.0
155550,284.0
155854,322.0
155984,255.0
157568,320.0
159954,169.0
164259,332.0
167906,385.0
168936,300.0
172112,318.0
172797,313.0
174782,430.0
175392,463.0
175932,360.0
175991,325.0
180753,332.0
181316,99.0
183096,396.0
183947,300.0
184271,342.0
185439,280.0
186149,377.0
187100,404.0
188278,117.0
189879,448.0
192183,330.0
195262,230.0
200860,322.0
202635,239.0
205350,336.0
205719,319.0
227499,437.0
227517,440.0
228082,299.0
228222,376.0
229179,433.0
229361,326.0
231554,297.0
235507,188.0
236284,270.0
238007,419.0
240712,313.0
240884,315.0
241649,318.0
241729,299.0
242793,304.0
246834,284.0
248270,466.0
255548,371.0
256815,385.0
258392,336.0
258894,440.0
260355,356.0
262011,413.0
262934,459.0
268073,301.0
268733,204.0
271251,336.0
277880,285.0
279572,406.0
281022,342.0
281250,332.0
281589,318.0
282821,375.0
286488,276.0
287548,320.0
290201,364.0
290757,409.0
291334,400.0
292923,41.0
293699,295.0
294570,348.0
294594,413.0
295741,285.0
296332,383.0
298696,300.0
300398,327.0
302302,351.0
305152,286.0
305386,334.0
305539,51.0
306107,375.0
306466,326.0
306897,391.0
307061,299.0
307866,375.0
311917,389.0
312537,347.0
312782,327.0
318933,368.0
319047,315.0
321942,335.0
324002,300.0
324084,433.0
324282,300.0
331358,120.0
332789,332.0
333059,371.0
333323,321.0
334259,300.0
334333,257.0
335764,356.0
336207,378.0
339972,325.0
341872,316.0
342007,122.0
342514,349.0
342972,328.0
343446,317.0
344282,280.0
345068,305.0
345357,286.0
346025,343.0
346843,312.0
350188,317.0
354858,37.0
357668,306.0
364177,397.0
365244,306.0
365642,320.0
366483,272.0
368194,391.0
368824,328.0
368963,287.0
376439,355.0
376581,332.0
380953,423.0
383254,329.0
386924,460.0
386952,306.0
388722,447.0
388885,453.0
390890,233.0
392756,326.0
392931,322.0
393207,306.0
396872,291.0
398552,325.0
401869,321.0
402470,398.0
404804,397.0
405088,335.0
405961,70.0
414117,341.0
415969,232.0
420087,283.0
429958,326.0
441018,320.0
441888,321.0
442442,151.0
444677,306.0
470588,116.0
489455,388.0
494424,306.0
495284,297.0
498857,284.0
508818,424.0
512460,300.0
544103,395.0
550383,319.0
564450,311.0
568601,158.0
572652,426.0
580389,290.0
581129,306.0
588775,285.0
591774,314.0
603861,279.0
606143,311.0
704156,297.0
705379,325.0
721259,96.0
749412,406.0
760729,335.0
905042,359.0
949618,327.0
958987,335.0
968578,438.0
969076,215.0
971027,330.0
978739,376.0
1035023,355.0
1105478,412.0
1352868,266.0
1401935,303.0
1402638,463.0
1414443,437.0
1456619,114.0
1465690,306.0
1472925,288.0
1488959,298.0
1518989,370.0
1618738,363.0
1620151,363.0
1626710,463.0
1640609,459.0
1686521,161.0
1729319,374.0
1746134,298.0
1758449,301.0
1763015,56.0
1765788,311.0
1801229,374.0
1801641,300.0
1847830,432.0
1860318,321.0
1889511,310.0
1889577,349.0
1894188,325.0
1938355,370.0
1942396,297.0
1970390,348.0
1976139,463.0
2011876,300.0
2012966,370.0
2051699,405.0
